Address,Alcohol,Ambience,Area,Best Nights,Bike Parking,Good For Dancing,Good for Groups,Happy Hour,Has Pool Table,Has TV,Music,Name,Noise Level,Outdoor Seating,Parking,Price_Level,Price_Range,Rating,Reviews,Smoking,Takes Reservations,Waiter Service,Waiter_Service,Wi-Fi,index
"6124 Hollywood Blvd Los Angeles, CA 90028",Full Bar,Casual,Hollywood,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,Blue Palms Brewhouse,Average,No,"Street, Private Lot",$$,11-30,4.0,734,Outdoor Area / Patio Only,No,,Yes,Free,0.0
"2375 Glendale Blvd Los Angeles, CA 90039",Full Bar,Hipster,Silver Lake,"Thu, Fri, Sat",Yes,No,Yes,Yes,Yes,No,DJ,Cha Cha Lounge,Very Loud,No,Street,$,Under 10,3.5,712,Outdoor Area / Patio Only,No,,No,No,0.0
"7910 W 3rd St Los Angeles, CA 90048",Full Bar,Trendy,Beverly Grove,"Mon, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,Mercado,Average,No,Valet,$$,11-30,4.0,743,No,Yes,,Yes,No,0.0
"6255 W Sunset Blvd Los Angeles, CA 90028",Full Bar,Casual,Hollywood,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,Juke Box,The Well,Average,No,Street,$$,Moderate,4.0,683,No,No,,,No,0.0
"1760 N Vermont Ave Los Angeles, CA 90027",Full Bar,Classy,Los Feliz,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,Live,The Dresden Restaurant,Average,No,,$$,11-30,4.0,704,No,Yes,,Yes,No,0.0
"3172 Los Feliz Blvd Los Angeles, CA 90039",Full Bar,Casual,Atwater Village,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,DJ,The Bigfoot Lodge,Average,No,Street,$$,Moderate,3.5,687,Outdoor Area / Patio Only,No,,,Free,0.0
"10939 Venice Blvd Los Angeles, CA 90064",Full Bar,Casual,Palms,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,Bigfoot West,Average,Yes,"Valet, Street",$$,Moderate,4.0,660,Outdoor Area / Patio Only,No,,,Free,0.0
"3451 W 6th St Los Angeles, CA 90020",Full Bar,"Casual, Trendy","Koreatown, Wilshire Center","Fri, Sat, Sun",Yes,No,Yes,Yes,No,Yes,DJ,Escala,Average,Yes,"Valet, Street, Private Lot, Validated",$$,11-30,4.0,648,No,Yes,,Yes,No,0.0
"2939 W Sunset Blvd Los Angeles, CA 90026",Full Bar,Hipster,Silver Lake,"Fri, Sat, Sun",Yes,No,Yes,Yes,No,No,,Thirsty Crow,Average,No,"Valet, Street",$$,Moderate,4.0,632,Yes,No,,,No,0.0
"3317 W 6th St Los Angeles, CA 90020",Beer & Wine Only,Divey,"Koreatown, Wilshire Center","Thu, Fri, Sat",Yes,No,Yes,No,No,No,Background,Dan Sung Sa,Loud,No,"Valet, Garage, Street",$$,11-30,4.0,602,No,Yes,,Yes,Free,0.0
"12012 W Pico Blvd Los Angeles, CA 90064",Full Bar,Casual,Sawtelle,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,DJ,The Arsenal,Average,Yes,"Valet, Street",$$,11-30,4.0,622,No,Yes,,Yes,Free,0.0
"1558 W Sunset Blvd Los Angeles, CA 90026",Full Bar,Divey,Echo Park,"Wed, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Juke Box,Gold Room,Loud,No,Street,$,Inexpensive,4.0,576,Outdoor Area / Patio Only,No,,,No,0.0
"1602 N Cahuenga Blvd Los Angeles, CA 90028",Full Bar,Trendy,Hollywood,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,Saint Felix,Average,Yes,"Valet, Street",$$,11-30,4.0,592,Outdoor Area / Patio Only,Yes,,Yes,Free,0.0
"107 E 6th St Los Angeles, CA 90014",Full Bar,Casual,Downtown,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,,Las Perlas,Loud,Yes,Street,$$,Moderate,4.0,569,Outdoor Area / Patio Only,No,,,No,0.0
"6541 Hollywood Blvd Los Angeles, CA 90028",Full Bar,Casual,Hollywood,"Tue, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,Teâ€™Kila,Average,Yes,Street,$$,11-30,4.0,605,No,Yes,,Yes,Free,0.0
"5221 Hollywood Blvd Los Angeles, CA 90027",Full Bar,Hipster,Los Feliz,"Tue, Fri, Sat",Yes,Yes,Yes,No,No,No,"DJ, Live",Harvard & Stone,Loud,No,Street,$$,Moderate,3.5,559,Outdoor Area / Patio Only,No,,,No,0.0
"500 N Michigan Ave Chicago, IL 60611",Full Bar,Trendy,Near North Side,"Wed, Thu, Fri",Yes,No,Yes,No,,No,,The Purple Pig,Loud,Yes,Street,$$,11-30,4.0,5030,No,No,,Yes,No,0.0
"2657 N Kedzie Ave Chicago, IL 60647",Full Bar,Hipster,Logan Square,"Fri, Sat, Sun",Yes,No,Yes,Yes,No,No,Juke Box,Longman & Eagle,Average,Yes,"Garage, Street",$$,11-30,4.0,2070,Outdoor Area / Patio Only,No,,Yes,No,0.0
"1520 N Damen Ave Chicago, IL 60622",Full Bar,"Intimate, Classy","West Town, Wicker Park","Mon, Wed, Thu",Yes,No,Yes,No,No,No,Background,The Violet Hour,Average,No,Street,$$,11-30,4.0,1898,No,No,,Yes,No,0.0
"2323 N Milwaukee Ave Chicago, IL 60647",Full Bar,Hipster,Logan Square,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Background,Revolution Brewing,Loud,No,Street,$$,11-30,4.0,1841,No,No,,Yes,Free,0.0
"435 N Clark St Back alley on Hubbard St Chicago, IL 60654",Full Bar,Trendy,Near North Side,"Thu, Fri, Sat",No,No,Yes,No,No,No,Background,Three Dots and a Dash,Loud,No,"Valet, Garage, Street",$$,11-30,4.0,1786,No,Yes,,Yes,Free,0.0
"4300 N Lincoln Ave Chicago, IL 60618",Full Bar,Casual,North Center,"Wed, Fri, Sat",Yes,No,Yes,No,No,Yes,,The Bad Apple,Average,Yes,Street,$$,11-30,4.0,1308,No,No,,Yes,Free,0.0
<br/,Full Bar,Trendy,Near North Side,"Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,Background,Sable,Average,Yes,"Valet, Street",$$,11-30,4.0,1204,No,No,,Yes,Free,0.0
"1954 N Halsted St Chicago, IL 60614",Full Bar,Trendy,"Lincoln Park, DePaul","Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Background,Summer House Santa Monica,Average,Yes,Valet,$$,11-30,4.0,1314,No,Yes,,Yes,No,0.0
"955 W Fulton Market Chicago, IL 60607",Full Bar,Upscale,"Fulton Market, Near West Side, West Loop","Thu, Fri, Sat",No,No,Yes,No,No,No,Background,The Aviary,Average,No,Street,$$$$,Ultra High-End,4.0,995,No,Yes,,,No,0.0
"3130 N Broadway St Chicago, IL 60657",Full Bar,Casual,Lakeview,"Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,,Wilde Bar & Restaurant,Average,Yes,Street,$$,11-30,4.0,916,No,Yes,,Yes,No,0.0
"1949 N Hoyne Ave Chicago, IL 60647",Full Bar,Casual,Bucktown,"Mon, Tue, Sat",Yes,No,Yes,No,No,Yes,Juke Box,The Map Room,Average,No,Street,$$,Moderate,4.0,729,No,No,,,Free,0.0
"4802 N Broadway St Chicago, IL 60640",Full Bar,,Uptown,"Fri, Sat, Sun",Yes,No,Yes,No,No,No,Live,Green Mill,Loud,No,Street,$$,Moderate,4.0,735,No,No,,,No,0.0
"441 N Clark Chicago, IL 60654",Full Bar,Trendy,Near North Side,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Background,Bottlefork,Average,Yes,Valet,$$,11-30,4.0,694,No,Yes,,Yes,Free,0.0
"1310 S Wabash Ave Chicago, IL 60605",Full Bar,Casual,Near Southside,"Mon, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Background,Flo & Santos,Average,Yes,Street,$$,11-30,4.0,691,No,No,,Yes,No,0.0
"1541 W Bryn Mawr Ave Chicago, IL 60660",Full Bar,Trendy,"Andersonville, Edgewater","Fri, Sat, Sun",Yes,No,Yes,No,No,Yes,Background,Little Bad Wolf,Average,Yes,Street,$$,11-30,4.5,720,No,No,,Yes,Free,0.0
"18 East Bellevue Chicago, IL 60611",Full Bar,Casual,"Near North Side, Gold Coast","Thu, Fri, Sat",Yes,No,Yes,Yes,,Yes,Background,Luxbar,Average,Yes,Street,$$,11-30,3.5,638,No,Yes,,Yes,Free,0.0
"3201 W Armitage Ave Chicago, IL 60647",Full Bar,Hipster,Logan Square,"Thu, Fri, Sat",Yes,No,Yes,No,No,No,Background,Scofflaw,Average,Yes,Street,$$,11-30,4.5,609,No,No,,Yes,No,0.0
"3258 N Sheffield Ave Chicago, IL 60657",Full Bar,Casual,Lakeview,"Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,,Sheffieldâ€™s Wine & Beer Garden,Loud,Yes,Street,$$,11-30,4.0,597,No,No,,Yes,No,0.0
"960 W 18th St Chicago, IL 60608",Full Bar,Hipster,Pilsen,"Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,DJ,Simoneâ€™s,Average,Yes,Street,$$,11-30,3.5,586,No,No,,Yes,Free,0.0
"2421 N Milwaukee Ave Chicago, IL 60647",Full Bar,Hipster,Logan Square,"Tue, Wed, Thu",Yes,No,Yes,No,No,No,"DJ, Live",The Whistler,Loud,Yes,Street,$$,Moderate,4.0,561,Outdoor Area / Patio Only,No,,,No,0.0
"321 N Clark St Chicago, IL 60654",Full Bar,Casual,Near North Side,"Fri, Sat, Sun",Yes,No,Yes,Yes,No,Yes,Background,Bridge House Tavern,Average,Yes,Garage,$$,11-30,4.0,640,No,Yes,,Yes,Free,0.0
"730 W Grand Ave Chicago, IL 60654",Full Bar,Trendy,"River West, Near West Side, Noble Square, West Town","Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Background,The Dawson,Average,Yes,Valet,$$,11-30,4.0,602,Outdoor Area / Patio Only,Yes,,Yes,No,0.0
"832 W Randolph St Chicago, IL 60607",Full Bar,"Casual, Trendy","Near West Side, West Loop","Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,Bar Siena,Average,Yes,"Valet, Street",$$,11-30,4.0,640,No,Yes,,Yes,Free,0.0
"2119 S Halsted St Chicago, IL 60608",Full Bar,Casual,Pilsen,"Tue, Sat, Sun",Yes,No,No,Yes,No,Yes,Background,Pleasant House Pub,Average,No,Street,$$,11-30,4.5,589,No,No,,Yes,Free,0.0
"9 W Hubbard St Chicago, IL 60654",Full Bar,Casual,Near North Side,"Fri, Sat, Sun",Yes,No,Yes,Yes,No,Yes,,Theory,Average,Yes,"Valet, Street",$$,11-30,4.0,558,No,Yes,,Yes,Free,0.0
"1670 W Division St Chicago, IL 60622",Full Bar,Hipster,"West Town, Wicker Park","Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,Background,Bangers & Lace,Average,Yes,Street,$$,11-30,3.5,535,No,No,,Yes,No,0.0
"910 W Buena Ave Chicago, IL 60613",Full Bar,Casual,Uptown,"Mon, Thu, Sat",Yes,No,Yes,No,No,Yes,Juke Box,Bar on Buena,Average,Yes,Street,$$,11-30,4.0,489,Outdoor Area / Patio Only,No,,Yes,No,0.0
"4530 N Lincoln Ave Chicago, IL 60625",Full Bar,Casual,"Lincoln Square, Ravenswood","Fri, Sat, Sun",Yes,No,Yes,No,No,Yes,Live,The Grafton,Average,Yes,Street,$$,11-30,4.0,465,No,Yes,,Yes,Free,0.0
"2771 N Lincoln Ave Chicago, IL 60614",Full Bar,Divey,"Lincoln Park, DePaul","Mon, Thu, Fri",Yes,No,Yes,No,Yes,Yes,"DJ, Juke Box",Delilahâ€™s,Loud,No,Street,$,Inexpensive,4.0,441,No,No,,,,0.0
