Address,Alcohol,Ambience,Area,Best Nights,Bike Parking,Good For Dancing,Good for Groups,Happy Hour,Has Pool Table,Has TV,Music,Name,Noise Level,Outdoor Seating,Parking,Price_Level,Price_Range,Rating,Reviews,Smoking,Takes Reservations,Waiter Service,Waiter_Service,Wi-Fi,index
"211 W Broadway New York, NY 10013",Full Bar,Casual,TriBeCa,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Background,Distilled,Average,Yes,Street,$$,11-30,4.0,594,No,Yes,,Yes,Free,0.0
"357 W 44th St New York, NY 10036",Full Bar,Casual,"Theater District, Hell's Kitchen, Midtown West","Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Background,Réunion,Average,No,Street,$$,Moderate,4.0,547,No,No,,,No,0.0
"204 W 55th St New York, NY 10019",Full Bar,Casual,Midtown West,"Thu, Fri, Sat",No,No,Yes,No,No,Yes,,Tanner Smiths,Average,No,Street,$$,11-30,4.5,653,No,Yes,,Yes,Free,0.0
"37 W 26th St New York, NY 10010",Full Bar,Classy,Flatiron,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,Live,Flatiron Room,Average,No,Street,$$$,31-60,4.5,556,No,Yes,,Yes,Free,0.0
"900 Broadway New York, NY 10003",Full Bar,Trendy,Flatiron,"Thu, Fri, Sat",Yes,No,Yes,Yes,,No,Background,The Cellar,Average,No,Street,$$,11-30,4.0,535,No,No,,Yes,No,0.0
"157 Bleecker St New York, NY 10012",Full Bar,Casual,Greenwich Village,"Fri, Sat, Sun",Yes,No,Yes,Yes,,Yes,,Carroll Place,Average,Yes,Street,$$,11-30,4.0,573,No,Yes,,Yes,Free,0.0
"47 E 29th St New York, NY 10016",Full Bar,Casual,"Midtown East, Flatiron","Thu, Fri, Sat",No,No,Yes,Yes,No,Yes,,Tavern29,Average,Yes,"Garage, Street",$$,11-30,4.0,604,No,Yes,,Yes,Free,0.0
"425 W 15th St New York, NY 10011",Full Bar,Trendy,"Meatpacking District, Chelsea","Thu, Fri, Sat",Yes,No,Yes,No,No,No,Background,The Tippler,Loud,No,Street,$$,Moderate,4.0,509,No,No,,,Free,0.0
"432 E 13th St New York, NY 10009",Full Bar,Casual,"East Village, Alphabet City","Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,DJ,Keybar,Average,No,Street,$,Inexpensive,4.0,511,Outdoor Area / Patio Only,Yes,,,Free,0.0
"246 W 38th St New York, NY 10018",Full Bar,Casual,Midtown West,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,District Tap House,Average,No,Street,$$,11-30,4.0,532,No,Yes,,Yes,Free,0.0
"25 N Moore St New York, NY 10013",Full Bar,"Classy, Upscale",TriBeCa,"Thu, Fri, Sat",No,No,Yes,No,,No,Background,Brandy Library,Quiet,Yes,Street,$$$,31-60,4.0,483,Outdoor Area / Patio Only,Yes,,Yes,No,0.0
"311 E 60th St New York, NY 10022",Full Bar,Casual,Upper East Side,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,The Jeffrey Craft Beer & Bites,Average,Yes,"Garage, Street",$$,11-30,4.0,497,Outdoor Area / Patio Only,No,,Yes,Free,0.0
"55 Irving Pl New York, NY 10003",Full Bar,"Intimate, Classy","Union Square, Gramercy, Flatiron","Fri, Sat, Sun",Yes,No,Yes,No,No,No,Background,Dear Irving,Average,No,Street,$$$,Pricey,4.5,433,No,Yes,,,No,0.0
"700 E 9th St New York, NY 10009",Full Bar,Casual,"East Village, Alphabet City","Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,,The Wayland,Average,No,Street,$$,Moderate,4.5,410,No,No,,,No,0.0
"344 Bowery New York, NY 10012",Full Bar,Casual,"East Village, NoHo","Thu, Fri, Sat",Yes,No,Yes,No,No,No,Background,The Wren,Average,No,Street,$$,11-30,4.0,397,No,No,,Yes,No,0.0
"222 E 14th St New York, NY 10003",Full Bar,Casual,East Village,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,,The Belfry,Loud,No,Street,$$,Moderate,4.0,388,No,Yes,,,No,0.0
<br/,Full Bar,Intimate,"Theater District, Midtown West","Thu, Fri, Sat",No,No,Yes,Yes,No,No,Live,The Rum House,Average,No,Street,$$,Moderate,4.0,389,No,No,,,Free,0.0
"7 Ave A New York, NY 10009",Full Bar,Divey,"East Village, Alphabet City","Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Juke Box,The Library,Loud,No,Street,$,Inexpensive,4.0,347,No,No,,,,0.0
"135 W Broadway New York, NY 10013",Full Bar,Intimate,TriBeCa,"Tue, Fri, Sat",No,No,No,No,No,No,Background,Tiny’s & the Bar Upstairs,Average,Yes,Street,$$,11-30,4.0,377,No,Yes,,Yes,Free,0.0
"134 Eldridge St New York, NY 10002",Full Bar,Intimate,Lower East Side,"Thu, Sat, Sun",Yes,No,No,No,No,No,Background,Attaboy,Average,No,Street,$$$,Pricey,4.0,346,No,No,,,,0.0
"307 W 47th St New York, NY 10036",Full Bar,"Casual, Trendy","Theater District, Hell's Kitchen, Midtown West","Thu, Fri, Sat",No,No,Yes,No,No,No,,Dutch Freds,Average,No,Street,$$,11-30,4.5,415,No,Yes,,Yes,Free,0.0
"450 Amsterdam Ave New York, NY 10024",Full Bar,Casual,Upper West Side,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Juke Box,The Dead Poet,Average,Yes,Street,$$,Moderate,4.0,337,Outdoor Area / Patio Only,No,,,Free,0.0
"23 W 45th St New York, NY 10036",Full Bar,Casual,Midtown West,"Mon, Tue, Fri",Yes,No,Yes,No,No,Yes,,Cock & Bull,Average,No,Street,$$,11-30,4.0,346,No,Yes,,Yes,Free,0.0
"47 E Houston St Ste B New York, NY 10012",Full Bar,"Divey, Casual",Nolita,"Thu, Fri, Sat",No,No,Yes,Yes,No,No,DJ,Botanica Bar,Average,No,Street,$,Inexpensive,4.0,306,No,No,,,,0.0
"422 Hudson St New York, NY 10014",Beer & Wine Only,Intimate,West Village,"Wed, Thu, Sat",Yes,No,No,Yes,,No,Background,Lelabar,Average,No,Street,$$,Moderate,4.0,307,No,No,,,,0.0
"448 S Hill St Los Angeles, CA 90013",Full Bar,Classy,Downtown,"Thu, Fri, Sat",No,No,Yes,Yes,No,No,Live,Perch,Average,Yes,"Valet, Street",$$$,31-60,4.0,4624,Outdoor Area / Patio Only,Yes,,Yes,No,0.0
"108 W 2nd St Los Angeles, CA 90012",Full Bar,Classy,Downtown,"Thu, Fri, Sat",No,Yes,Yes,Yes,No,No,DJ,The Edison,Loud,No,"Valet, Street",$$$,Pricey,4.0,2608,Outdoor Area / Patio Only,Yes,,,No,0.0
"3179 Los Feliz Blvd Los Angeles, CA 90039",Full Bar,Casual,Atwater Village,"Fri, Sat, Sun",Yes,No,Yes,Yes,No,Yes,,The Morrison,Average,Yes,Private Lot,$$,11-30,4.5,2657,Outdoor Area / Patio Only,Yes,,Yes,Free,0.0
"515 W 7th St Fl 2 Los Angeles, CA 90014",Full Bar,Hipster,Downtown,"Thu, Fri, Sat",Yes,No,Yes,Yes,Yes,Yes,,Seven Grand,Loud,Yes,"Valet, Street",$$,Moderate,4.0,1723,Outdoor Area / Patio Only,Yes,,,No,0.0
"8700 W 3rd St Los Angeles, CA 90048",Full Bar,Romantic,Beverly Grove,"Thu, Fri, Sat",No,No,Yes,Yes,,No,Background,AOC,Average,Yes,"Valet, Street",$$$,31-60,4.0,1829,No,Yes,,Yes,Free,0.0
"630 W 6th St Ste 116-A Los Angeles, CA 90017",Full Bar,,Downtown,,No,,Yes,,,No,,Library Bar,Loud,Yes,"Garage, Street, Validated",$$,11-30,4.0,1487,,Yes,,No,No,0.0
"2366 Glendale Blvd Los Angeles, CA 90039",Full Bar,Casual,Silver Lake,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Live,Red Lion Tavern,Loud,Yes,"Street, Private Lot",$$,11-30,4.0,1427,Outdoor Area / Patio Only,No,,Yes,No,0.0
"12236 W Washington Blvd Los Angeles, CA 90066",Full Bar,Hipster,Culver City,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,,Alibi Room,Loud,Yes,"Street, Private Lot",$$,11-30,4.0,1354,Outdoor Area / Patio Only,No,,No,Free,0.0
<br/,Full Bar,Casual,Rancho Park,"Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,Background,Westside Tavern,Average,No,Garage,$$,11-30,4.0,1269,No,Yes,,Yes,Free,0.0
"2308 S Union Ave Los Angeles, CA 90007",Beer & Wine Only,Casual,University Park,"Mon, Fri, Sun",Yes,No,Yes,Yes,,Yes,Background,Bacaro LA,Loud,Yes,"Street, Private Lot",$$,11-30,4.0,1144,No,Yes,,Yes,Free,0.0
"707 E 4th Pl Los Angeles, CA 90013",Full Bar,"Hipster, Casual","Arts District, Downtown","Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,DJ,EightyTwo,Loud,Yes,Street,$$,Moderate,4.0,1086,Outdoor Area / Patio Only,No,,,No,0.0
"1356 Palmetto St Los Angeles, CA 90013",Full Bar,Hipster,"Arts District, Downtown","Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,Live,Villains Tavern,Loud,Yes,"Street, Private Lot",$$,11-30,4.0,1066,Outdoor Area / Patio Only,No,,No,No,0.0
"118 E 6th St Los Angeles, CA 90014",Full Bar,Intimate,Downtown,"Thu, Fri, Sat",No,No,No,No,No,No,Background,The Varnish,Average,No,Street,$$,Moderate,4.0,1022,No,No,,,No,0.0
"1612 N Cahuenga Blvd Los Angeles, CA 90028",Full Bar,Trendy,Hollywood,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,DJ,Velvet Margarita,Average,No,Street,$$,11-30,4.0,969,Outdoor Area / Patio Only,Yes,,Yes,No,0.0
"3000 Los Feliz Blvd Los Angeles, CA 90039",Full Bar,Casual,Atwater Village,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Juke Box,The Griffin,Average,Yes,"Valet, Street",$$,11-30,4.0,913,Outdoor Area / Patio Only,Yes,,No,No,0.0
"8450 W 3rd St Los Angeles, CA 90048",Full Bar,Trendy,Beverly Grove,"Fri, Sat, Sun",No,No,Yes,Yes,No,No,DJ,Toca Madera,Loud,No,"Valet, Street",$$$,31-60,4.0,1020,No,Yes,,Yes,No,0.0
"6317 Wilshire Blvd Los Angeles, CA 90048",Full Bar,Trendy,Beverly Grove,"Fri, Sat, Sun",No,No,Yes,No,No,No,Background,The Roof on Wilshire,Average,Yes,"Valet, Garage, Street, Private Lot, Validated",$$,11-30,3.5,951,Outdoor Area / Patio Only,Yes,,Yes,Free,0.0
"911 S Hill St Los Angeles, CA 90015",Full Bar,"Hipster, Trendy",Downtown,"Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,,The Stocking Frame,Average,Yes,"Garage, Street",$$,11-30,4.0,852,No,Yes,,Yes,No,0.0
"8138 W 3rd St Los Angeles, CA 90048",Full Bar,Casual,Beverly Grove,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,,El Carmen,Loud,No,"Valet, Street",$$,11-30,4.0,806,No,Yes,,Yes,No,0.0
"10929 W Pico Blvd Los Angeles, CA 90064",Full Bar,Classy,West Los Angeles,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,,The Wellesbourne,Loud,No,"Valet, Street",$$,Moderate,4.0,772,No,No,,,No,0.0
"4427 W Sunset Blvd Los Angeles, CA 90027",Full Bar,Divey,Los Feliz,"Thu, Fri, Sat",Yes,No,No,No,No,No,Juke Box,Tiki-Ti Cocktail Lounge,Loud,No,Street,$$,Moderate,4.5,758,Yes,No,,,No,0.0
"1455 W Sunset Blvd Los Angeles, CA 90026",Full Bar,Divey,Echo Park,"Thu, Fri, Sat",Yes,Yes,Yes,Yes,Yes,Yes,DJ,The Short Stop,Loud,No,Street,$,Inexpensive,3.5,793,Outdoor Area / Patio Only,No,,,No,0.0
"1611 N El Centro Ave Los Angeles, CA 90028",Full Bar,Hipster,Hollywood,"Fri, Sat, Sun",Yes,Yes,Yes,Yes,No,No,DJ,Good Times at Davey Wayne’s,Loud,Yes,"Valet, Street",$$,Moderate,3.5,830,Outdoor Area / Patio Only,No,,,No,0.0
"239 S Vermont Ave Los Angeles, CA 90004",Full Bar,Trendy,Koreatown,"Thu, Fri, Sat",No,Yes,Yes,No,No,No,DJ,Lock & Key,Loud,Yes,"Valet, Street",$$,Moderate,3.5,716,Outdoor Area / Patio Only,Yes,,,No,0.0
"6124 Hollywood Blvd Los Angeles, CA 90028",Full Bar,Casual,Hollywood,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,Blue Palms Brewhouse,Average,No,"Street, Private Lot",$$,11-30,4.0,735,Outdoor Area / Patio Only,No,,Yes,Free,0.0
"2375 Glendale Blvd Los Angeles, CA 90039",Full Bar,Hipster,Silver Lake,"Thu, Fri, Sat",Yes,No,Yes,Yes,Yes,No,DJ,Cha Cha Lounge,Very Loud,No,Street,$,Under 10,3.5,710,Outdoor Area / Patio Only,No,,No,No,0.0
"7910 W 3rd St Los Angeles, CA 90048",Full Bar,Trendy,Beverly Grove,"Mon, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,Mercado,Average,No,Valet,$$,11-30,4.0,745,No,Yes,,Yes,No,0.0
"6255 W Sunset Blvd Los Angeles, CA 90028",Full Bar,Casual,Hollywood,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,Juke Box,The Well,Average,No,Street,$$,Moderate,4.0,684,No,No,,,Free,0.0
"1760 N Vermont Ave Los Angeles, CA 90027",Full Bar,Classy,Los Feliz,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,Live,The Dresden Restaurant,Average,No,,$$,11-30,4.0,705,No,Yes,,Yes,No,0.0
"3172 Los Feliz Blvd Los Angeles, CA 90039",Full Bar,Casual,Atwater Village,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,DJ,The Bigfoot Lodge,Average,No,Street,$$,Moderate,3.5,687,Outdoor Area / Patio Only,No,,,Free,0.0
"10939 Venice Blvd Los Angeles, CA 90064",Full Bar,Casual,Palms,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,Bigfoot West,Average,Yes,"Valet, Street",$$,Moderate,4.0,660,Outdoor Area / Patio Only,No,,,Free,0.0
"3451 W 6th St Los Angeles, CA 90020",Full Bar,"Casual, Trendy","Koreatown, Wilshire Center","Fri, Sat, Sun",Yes,No,Yes,Yes,No,Yes,DJ,Escala,Average,Yes,"Valet, Street, Private Lot, Validated",$$,11-30,4.0,653,No,Yes,,Yes,No,0.0
"2939 W Sunset Blvd Los Angeles, CA 90026",Full Bar,Hipster,Silver Lake,"Fri, Sat, Sun",Yes,No,Yes,Yes,No,No,,Thirsty Crow,Average,No,"Valet, Street",$$,Moderate,4.0,630,Yes,No,,,No,0.0
"3317 W 6th St Los Angeles, CA 90020",Beer & Wine Only,Divey,"Koreatown, Wilshire Center","Thu, Fri, Sat",Yes,No,Yes,No,No,No,Background,Dan Sung Sa,Loud,No,"Valet, Garage, Street",$$,11-30,4.0,603,No,Yes,,Yes,Free,0.0
"12012 W Pico Blvd Los Angeles, CA 90064",Full Bar,Casual,Sawtelle,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,DJ,The Arsenal,Average,Yes,"Valet, Street",$$,11-30,4.0,623,No,Yes,,Yes,Free,0.0
"1558 W Sunset Blvd Los Angeles, CA 90026",Full Bar,Divey,Echo Park,"Wed, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Juke Box,Gold Room,Loud,No,Street,$,Inexpensive,4.0,576,Outdoor Area / Patio Only,No,,,No,0.0
"1602 N Cahuenga Blvd Los Angeles, CA 90028",Full Bar,Trendy,Hollywood,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,Saint Felix,Average,Yes,"Valet, Street",$$,11-30,4.0,592,Outdoor Area / Patio Only,Yes,,Yes,Free,0.0
"107 E 6th St Los Angeles, CA 90014",Full Bar,Casual,Downtown,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,No,,Las Perlas,Loud,Yes,Street,$$,Moderate,4.0,569,Outdoor Area / Patio Only,No,,,No,0.0
"6541 Hollywood Blvd Los Angeles, CA 90028",Full Bar,Casual,Hollywood,"Tue, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,Te’Kila,Average,Yes,Street,$$,11-30,4.0,606,No,Yes,,Yes,Free,0.0
"5221 Hollywood Blvd Los Angeles, CA 90027",Full Bar,Hipster,Los Feliz,"Tue, Fri, Sat",Yes,Yes,Yes,No,No,No,"DJ, Live",Harvard & Stone,Loud,No,Street,$$,Moderate,3.5,561,Outdoor Area / Patio Only,No,,,No,0.0
"500 N Michigan Ave Chicago, IL 60611",Full Bar,Trendy,Near North Side,"Wed, Thu, Fri",Yes,No,Yes,No,,No,,The Purple Pig,Loud,Yes,Street,$$,11-30,4.0,5032,No,No,,Yes,No,0.0
"2657 N Kedzie Ave Chicago, IL 60647",Full Bar,Hipster,Logan Square,"Fri, Sat, Sun",Yes,No,Yes,Yes,No,No,Juke Box,Longman & Eagle,Average,Yes,"Garage, Street",$$,11-30,4.0,2066,Outdoor Area / Patio Only,No,,Yes,No,0.0
"1520 N Damen Ave Chicago, IL 60622",Full Bar,"Intimate, Classy","West Town, Wicker Park","Mon, Wed, Thu",Yes,No,Yes,No,No,No,Background,The Violet Hour,Average,No,Street,$$,11-30,4.0,1900,No,No,,Yes,No,0.0
"2323 N Milwaukee Ave Chicago, IL 60647",Full Bar,Hipster,Logan Square,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Background,Revolution Brewing,Loud,No,Street,$$,11-30,4.0,1843,No,No,,Yes,Free,0.0
"435 N Clark St Back alley on Hubbard St Chicago, IL 60654",Full Bar,Trendy,Near North Side,"Thu, Fri, Sat",No,No,Yes,No,No,No,Background,Three Dots and a Dash,Loud,No,"Valet, Garage, Street",$$,11-30,4.0,1786,No,Yes,,Yes,Free,0.0
"4300 N Lincoln Ave Chicago, IL 60618",Full Bar,Casual,North Center,"Wed, Fri, Sat",Yes,No,Yes,No,No,Yes,,The Bad Apple,Average,Yes,Street,$$,11-30,4.0,1310,No,No,,Yes,Free,0.0
<br/,Full Bar,Trendy,Near North Side,"Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,Background,Sable,Average,Yes,"Valet, Street",$$,11-30,4.0,1203,No,No,,Yes,Free,0.0
"1954 N Halsted St Chicago, IL 60614",Full Bar,Trendy,"Lincoln Park, DePaul","Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Background,Summer House Santa Monica,Average,Yes,Valet,$$,11-30,4.0,1319,No,Yes,,Yes,No,0.0
"955 W Fulton Market Chicago, IL 60607",Full Bar,Upscale,"Fulton Market, Near West Side, West Loop","Thu, Fri, Sat",No,No,Yes,No,No,No,Background,The Aviary,Average,No,Street,$$$$,Ultra High-End,4.0,1001,No,Yes,,,No,0.0
"3130 N Broadway St Chicago, IL 60657",Full Bar,Casual,Lakeview,"Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,,Wilde Bar & Restaurant,Average,Yes,Street,$$,11-30,4.0,918,No,Yes,,Yes,No,0.0
"1949 N Hoyne Ave Chicago, IL 60647",Full Bar,Casual,Bucktown,"Mon, Tue, Sat",Yes,No,Yes,No,No,Yes,Juke Box,The Map Room,Average,No,Street,$$,Moderate,4.0,730,No,No,,,Free,0.0
"4802 N Broadway St Chicago, IL 60640",Full Bar,,Uptown,"Fri, Sat, Sun",Yes,No,Yes,No,No,No,Live,Green Mill,Loud,No,Street,$$,Moderate,4.0,735,No,No,,,No,0.0
"441 N Clark Chicago, IL 60654",Full Bar,Trendy,Near North Side,"Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Background,Bottlefork,Average,Yes,Valet,$$,11-30,4.0,695,No,Yes,,Yes,Free,0.0
"1310 S Wabash Ave Chicago, IL 60605",Full Bar,Casual,Near Southside,"Fri, Sat, Sun",Yes,No,Yes,Yes,No,Yes,Background,Flo & Santos,Average,Yes,Street,$$,11-30,4.0,693,No,No,,Yes,No,0.0
"1541 W Bryn Mawr Ave Chicago, IL 60660",Full Bar,Trendy,"Andersonville, Edgewater","Fri, Sat, Sun",Yes,No,Yes,No,No,Yes,Background,Little Bad Wolf,Average,Yes,Street,$$,11-30,4.5,721,No,No,,Yes,Free,0.0
"18 East Bellevue Chicago, IL 60611",Full Bar,Casual,"Near North Side, Gold Coast","Thu, Fri, Sat",Yes,No,Yes,Yes,,Yes,Background,Luxbar,Average,Yes,Street,$$,11-30,3.5,636,No,Yes,,Yes,Free,0.0
"3258 N Sheffield Ave Chicago, IL 60657",Full Bar,Casual,Lakeview,"Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,,Sheffield’s Wine & Beer Garden,Loud,Yes,Street,$$,11-30,4.0,597,No,No,,Yes,No,0.0
"3201 W Armitage Ave Chicago, IL 60647",Full Bar,Hipster,Logan Square,"Thu, Fri, Sat",Yes,No,Yes,No,No,No,Background,Scofflaw,Average,Yes,Street,$$,11-30,4.5,610,No,No,,Yes,No,0.0
"2421 N Milwaukee Ave Chicago, IL 60647",Full Bar,Hipster,Logan Square,"Tue, Wed, Thu",Yes,No,Yes,No,No,No,"DJ, Live",The Whistler,Loud,Yes,Street,$$,Moderate,4.0,561,Outdoor Area / Patio Only,No,,,No,0.0
"960 W 18th St Chicago, IL 60608",Full Bar,Hipster,Pilsen,"Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,DJ,Simone’s,Average,Yes,Street,$$,11-30,3.5,586,No,No,,Yes,Free,0.0
"321 N Clark St Chicago, IL 60654",Full Bar,Casual,Near North Side,"Fri, Sat, Sun",Yes,No,Yes,Yes,No,Yes,Background,Bridge House Tavern,Average,Yes,Garage,$$,11-30,4.0,643,No,Yes,,Yes,Free,0.0
"730 W Grand Ave Chicago, IL 60654",Full Bar,Trendy,"River West, Near West Side, Noble Square, West Town","Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,Background,The Dawson,Average,Yes,Valet,$$,11-30,4.0,604,Outdoor Area / Patio Only,Yes,,Yes,Free,0.0
"832 W Randolph St Chicago, IL 60607",Full Bar,"Casual, Trendy","Near West Side, West Loop","Thu, Fri, Sat",Yes,No,Yes,Yes,No,Yes,,Bar Siena,Average,Yes,"Valet, Street",$$,11-30,4.0,643,No,Yes,,Yes,Free,0.0
"2119 S Halsted St Chicago, IL 60608",Full Bar,Casual,Pilsen,"Tue, Sat, Sun",Yes,No,No,Yes,No,Yes,Background,Pleasant House Pub,Average,No,Street,$$,11-30,4.5,591,No,No,,Yes,Free,0.0
"9 W Hubbard St Chicago, IL 60654",Full Bar,Casual,Near North Side,"Fri, Sat, Sun",Yes,No,Yes,Yes,No,Yes,,Theory,Average,Yes,"Valet, Street",$$,11-30,4.0,560,No,Yes,,Yes,Free,0.0
"1670 W Division St Chicago, IL 60622",Full Bar,Hipster,"West Town, Wicker Park","Thu, Fri, Sat",Yes,No,Yes,No,No,Yes,Background,Bangers & Lace,Average,Yes,Street,$$,11-30,3.5,535,No,No,,Yes,No,0.0
"910 W Buena Ave Chicago, IL 60613",Full Bar,Casual,Uptown,"Mon, Thu, Sat",Yes,No,Yes,No,No,Yes,Juke Box,Bar on Buena,Average,Yes,Street,$$,11-30,4.0,489,Outdoor Area / Patio Only,No,,Yes,No,0.0
"4530 N Lincoln Ave Chicago, IL 60625",Full Bar,Casual,"Lincoln Square, Ravenswood","Fri, Sat, Sun",Yes,No,Yes,No,No,Yes,Live,The Grafton,Average,Yes,Street,$$,11-30,4.0,465,No,Yes,,Yes,Free,0.0
"2771 N Lincoln Ave Chicago, IL 60614",Full Bar,Divey,"Lincoln Park, DePaul","Mon, Thu, Fri",Yes,No,Yes,No,Yes,Yes,"DJ, Juke Box",Delilah’s,Loud,No,Street,$,Inexpensive,4.5,443,No,No,,,,0.0
